"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"VAL"
"Число умерших(Человек)"	"2001 год"	"200112"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 290"
"Число умерших(Человек)"	"2002 год"	"200212"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 472"
"Число умерших(Человек)"	"2007 год"	"200712"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 181"
"Число умерших(Человек)"	"2008 год"	"200812"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 092"
"Число умерших(Человек)"	"2003 год"	"200312"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 531"
"Число умерших(Человек)"	"2004 год"	"200412"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 203"
"Число умерших(Человек)"	"2006 год"	"200612"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 558"
"Число умерших(Человек)"	"2016 год"	"201612"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 323"
"Число умерших(Человек)"	"2010 год"	"201012"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 787"
"Число умерших(Человек)"	"2015 год"	"201512"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 352"
"Число умерших(Человек)"	"2013 год"	"201312"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 636"
"Число умерших(Человек)"	"2014 год"	"201412"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 532"
"Число умерших(Человек)"	"2012 год"	"201212"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 663"
"Число умерших(Человек)"	"2021 год"	"202112"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 286"
"Число умерших(Человек)"	"2020 год"	"202012"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 544"
"Число умерших(Человек)"	"2019 год"	"201912"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 446"
"Число умерших(Человек)"	"2018 год"	"201812"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 284"
"Число умерших(Человек)"	"2022 год"	"202212"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 391"
"Число умерших(Человек)"	"2017 год"	"201712"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 386"
"Число умерших(Человек)"	"2023 год"	"202312"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 327"
"Число умерших(Человек)"	"2024 год"	"202412"	"ЖАМБЫЛСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 436"
"Число умерших(Человек)"	"2009 год"	"200912"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 053"
"Число умерших(Человек)"	"2011 год"	"201112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 729"
"Число умерших(Человек)"	"2002 год"	"200212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 787"
"Число умерших(Человек)"	"2000 год"	"200012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 855"
"Число умерших(Человек)"	"2001 год"	"200112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 744"
"Число умерших(Человек)"	"2005 год"	"200512"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 573"
"Число умерших(Человек)"	"2007 год"	"200712"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 657"
"Число умерших(Человек)"	"2008 год"	"200812"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 197"
"Число умерших(Человек)"	"2003 год"	"200312"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 818"
"Число умерших(Человек)"	"2006 год"	"200612"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 652"
"Число умерших(Человек)"	"2004 год"	"200412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 479"
"Число умерших(Человек)"	"2016 год"	"201612"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 647"
"Число умерших(Человек)"	"2010 год"	"201012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 966"
"Число умерших(Человек)"	"2015 год"	"201512"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 554"
"Число умерших(Человек)"	"2013 год"	"201312"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 568"
"Число умерших(Человек)"	"2014 год"	"201412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 561"
"Число умерших(Человек)"	"2012 год"	"201212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 977"
"Число умерших(Человек)"	"2021 год"	"202112"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"7 702"
"Число умерших(Человек)"	"2020 год"	"202012"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"6 958"
"Число умерших(Человек)"	"2019 год"	"201912"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 675"
"Число умерших(Человек)"	"2018 год"	"201812"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 554"
"Число умерших(Человек)"	"2022 год"	"202212"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 643"
"Число умерших(Человек)"	"2017 год"	"201712"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 456"
"Число умерших(Человек)"	"2023 год"	"202312"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 802"
"Число умерших(Человек)"	"2024 год"	"202412"	"АКТЮБИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"5 867"
"Число умерших(Человек)"	"2009 год"	"200912"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"15 120"
"Число умерших(Человек)"	"2011 год"	"201112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"15 334"
"Число умерших(Человек)"	"2000 год"	"200012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"16 638"
"Число умерших(Человек)"	"2005 год"	"200512"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"17 439"
"Число умерших(Человек)"	"2002 год"	"200212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"16 564"
"Число умерших(Человек)"	"2001 год"	"200112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"16 558"
"Число умерших(Человек)"	"2007 год"	"200712"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"17 891"
"Число умерших(Человек)"	"2008 год"	"200812"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"Всего"	"0"	"17 026"
