"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"VAL"
"Число зарегистрированных браков(Человек)"	"2006 год"	"200612"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"10 506"
"Число зарегистрированных браков(Человек)"	"2004 год"	"200412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"8 960"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"9 758"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"10 573"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"10 398"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"11 805"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"11 189"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"11 790"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"10 012"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"6 732"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"9 131"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"8 631"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"6 509"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"КАРАГАНДИНСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"6 556"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 800"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 731"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 827"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"4 677"
"Число зарегистрированных браков(Человек)"	"2000 год"	"200012"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 071"
"Число зарегистрированных браков(Человек)"	"2005 год"	"200512"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 586"
"Число зарегистрированных браков(Человек)"	"2002 год"	"200212"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 252"
"Число зарегистрированных браков(Человек)"	"2001 год"	"200112"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 302"
"Число зарегистрированных браков(Человек)"	"2007 год"	"200712"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 829"
"Число зарегистрированных браков(Человек)"	"2003 год"	"200312"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 671"
"Число зарегистрированных браков(Человек)"	"2008 год"	"200812"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"3 368"
